S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
174,232,Shri  Gopal  Singh  Shekhawat                                  ,15,4,Rajasthan                                                   ,Rajsamand,32,32
175,233,Shri  Raghuvir Singh  Meena                                             ,15,4,Rajasthan                                                   ,Udaipur,32,31
176,234,Shri  Harish  Choudhary                                         ,15,4,Rajasthan                                                   ,Barmer,32,31
177,235,Shri  Badri Ram  Jakhar                                            ,15,4,Rajasthan                                                   ,Pali,32,30
178,236,Shri  Khiladi Lal  Bairwa                                            ,15,4,Rajasthan                                                   ,Karauli-Dholpur,32,31
179,237,Shri  Ratan  Singh                                             ,15,4,Rajasthan                                                   ,Bharatpur,32,27
180,238,Shri  Raja Ram  Pal                                               ,15,4,Uttar Pradesh                                               ,Akbarpur,32,31
181,239,Shri  Bharat Ram  Meghwal                                           ,15,4,Rajasthan                                                   ,Ganganagar,32,32
182,240,Shri  Zafar Ali  Naqvi                                             ,15,4,Uttar Pradesh                                               ,Kheri,32,30
183,242,Shri  Charles  Dias                                              ,15,4,Kerala                                                      ,Nominated Anglo-Indian,32,32
184,243,Shri  Mohinder Singh  Kaypee                                            ,15,4,Punjab                                                      ,Jalandhar,32,31
185,244,Shri  Partap Singh  Bajwa                                             ,15,4,Punjab                                                      ,Gurdaspur,32,31
186,245,Adv.  P. T.  Thomas                                            ,15,4,Kerala                                                      ,Idukki,32,32
187,246,Shri  M. I.  Shanavas                                          ,15,4,Kerala                                                      ,Wayanad,32,30
188,247,Shri  Anto  Antony                                            ,15,4,Kerala                                                      ,Pathanamthitta,32,30
189,248,Shri  N.  Peethambarakurup                                  ,15,4,Kerala                                                      ,Kollam,32,29
190,249,Shri  Om Prakash  Yadav                                             ,15,4,Bihar                                                       ,Siwan,32,21
191,250,Shri    Sivakumar @  Ritheesh                             ,15,4,Tamil Nadu                                                  ,Ramanthapuram,32,14
192,251,Shri  Sanjay Dina  Patil                                             ,15,4,Maharashtra                                                 ,Mumbai-North-East,32,29
193,252,Shri  Narayan Singh  Amlabe                                            ,15,4,Madhya Pradesh                                              ,Rajgarh,32,31
194,253,Shri  Jose K.  Mani                                              ,15,4,Kerala                                                      ,Kottayam,32,30
195,254,Shri  Kameshwar  Baitha                                            ,15,4,Jharkhand                                                   ,Palamu,32,1
196,255,Shri  N. Cheluvaraya Swamy  ,15,4,Karnataka                                                   ,Mandya,32,13
197,256,Shri  Thol Thirumaavalavan  ,15,4,Tamil Nadu                                                  ,Chidambaram,32,4
198,257,Shri  Prem Das  Rai                                               ,15,4,Sikkim                                                      ,Sikkim,32,27
199,258,Shri  C. M.  Chang                                             ,15,4,Nagaland                                                    ,Nagaland,32,30
200,259,Shri   Baliram  Jadhav                                          ,15,4,Maharashtra                                                 ,Palghar,32,26
201,260,Shri  Jagada Nand  Singh                                             ,15,4,Bihar                                                       ,Buxar,32,32
202,261,Shri  Uma Shanaker  Singh                                             ,15,4,Bihar                                                       ,Maharajganj,32,32
203,262,Smt.  J. Helen Davidson  ,15,4,Tamil Nadu                                                  ,Kanniyakumari,32,26
204,263,Shri  S. R.  Jeyadurai                                         ,15,4,Tamil Nadu                                                  ,Thoothukkudi,32,28
205,264,Shri  Uday Pratap  Singh                                             ,15,4,Madhya Pradesh                                              ,Hoshangabad,32,25
